station_id,datetime,pm25,temperature_c,humidity_pct,wind_speed_mps,hour,month,dayofweek,is_weekend,season,pm25_lag1,pm25_lag24,pm25_roll6,pm25_roll24,target_next_hour_pm25,pollution_risk
06-037-1103,2023-01-02 22:00:00,14.25,3.3,49.2,2.4,22,1,0,0,0,14.08,15.57,17.596333333333334,17.6475875,17.75,Moderate
06-037-1103,2023-01-02 23:00:00,17.75,4.9,39.7,3.47,23,1,0,0,0,14.25,11.54,17.35466666666667,17.9063375,15.86,Moderate
06-037-1103,2023-01-03 00:00:00,15.86,6.0,35.1,4.13,0,1,1,0,0,17.75,13.64,16.712999999999997,17.9988375,10.69,Moderate
06-037-1103,2023-01-03 01:00:00,10.69,6.5,34.0,1.32,1,1,1,0,0,15.86,15.38,15.416333333333334,17.803420833333334,16.21,Good
06-037-1103,2023-01-03 02:00:00,16.21,5.3,52.3,3.27,2,1,1,0,0,10.69,12.52,14.806666666666667,17.957170833333333,14.92,Moderate
06-037-1103,2023-01-03 03:00:00,14.92,5.7,39.4,2.26,3,1,1,0,0,16.21,16.82,14.946666666666667,17.878004166666667,14.81,Moderate
06-037-1103,2023-01-03 04:00:00,14.81,5.2,41.1,5.02,4,1,1,0,0,14.92,15.0,15.040000000000001,17.8700875,18.75,Moderate
06-037-1103,2023-01-03 05:00:00,18.75,6.4,36.4,2.68,5,1,1,0,0,14.81,16.49,15.206666666666669,17.964254166666667,20.58,Moderate
06-037-1103,2023-01-03 06:00:00,20.58,5.6,46.8,3.99,6,1,1,0,0,18.75,16.5,15.993333333333332,18.134254166666665,23.1,Moderate
06-037-1103,2023-01-03 07:00:00,23.1,5.1,38.1,2.45,7,1,1,0,0,20.58,23.864099999999997,18.061666666666664,18.102416666666667,19.4,Moderate
06-037-1103,2023-01-03 08:00:00,19.4,4.5,39.6,5.9,8,1,1,0,0,23.1,21.47,18.593333333333334,18.016166666666667,19.35,Moderate
06-037-1103,2023-01-03 09:00:00,19.35,5.2,43.5,0.95,9,1,1,0,0,19.4,17.48,19.331666666666667,18.094083333333334,21.43,Moderate
06-037-1103,2023-01-03 10:00:00,21.43,6.0,36.7,4.21,10,1,1,0,0,19.35,22.65,20.435,18.04325,23.34,Moderate
06-037-1103,2023-01-03 11:00:00,23.34,5.5,41.1,1.58,11,1,1,0,0,21.43,17.85,21.2,18.272,19.8,Moderate
06-037-1103,2023-01-03 12:00:00,19.8,5.8,49.0,2.74,12,1,1,0,0,23.34,21.52,21.07,18.200333333333333,20.43,Moderate
06-037-1103,2023-01-03 13:00:00,20.43,7.7,44.2,3.81,13,1,1,0,0,19.8,16.0,20.625,18.384916666666665,17.83,Moderate
06-037-1103,2023-01-03 14:00:00,17.83,5.5,42.7,3.88,14,1,1,0,0,20.43,17.28,20.363333333333333,18.407833333333333,17.13,Moderate
06-037-1103,2023-01-03 15:00:00,17.13,3.7,43.1,3.84,15,1,1,0,0,17.83,20.61,19.993333333333336,18.262833333333333,21.53,Moderate
06-037-1103,2023-01-03 16:00:00,21.53,6.8,40.1,3.73,16,1,1,0,0,17.13,21.35,20.01,18.270333333333333,22.17,Moderate
06-037-1103,2023-01-03 17:00:00,22.17,2.3,52.0,2.54,17,1,1,0,0,21.53,19.2,19.814999999999998,18.394083333333334,19.82,Moderate
06-037-1103,2023-01-03 18:00:00,19.82,2.8,37.9,3.25,18,1,1,0,0,22.17,19.71,19.81833333333333,18.398666666666667,21.73,Moderate
06-037-1103,2023-01-03 19:00:00,21.73,5.7,43.1,3.55,19,1,1,0,0,19.82,18.47,20.035,18.534499999999998,17.4,Moderate
06-037-1103,2023-01-03 20:00:00,17.4,6.0,42.6,3.79,20,1,1,0,0,21.73,19.868000000000002,19.963333333333335,18.43166666666667,14.27,Moderate
06-037-1103,2023-01-03 21:00:00,14.27,2.5,47.1,3.4,21,1,1,0,0,17.4,14.08,19.486666666666668,18.439583333333335,16.31,Moderate
06-037-1103,2023-01-03 22:00:00,16.31,4.2,47.5,4.59,22,1,1,0,0,14.27,14.25,18.616666666666667,18.52541666666667,18.95,Moderate
06-037-1103,2023-01-03 23:00:00,18.95,3.8,41.8,3.64,23,1,1,0,0,16.31,17.75,18.080000000000002,18.575416666666666,14.91,Moderate
06-037-1103,2023-01-04 00:00:00,14.91,4.0,43.5,3.8,0,1,2,0,0,18.95,15.86,17.261666666666667,18.535833333333333,19.01,Moderate
06-037-1103,2023-01-04 01:00:00,19.01,6.9,43.7,2.93,1,1,2,0,0,14.91,10.69,16.808333333333334,18.8825,8.85,Moderate
06-037-1103,2023-01-04 02:00:00,8.85,6.4,30.6,1.92,2,1,2,0,0,19.01,16.21,15.383333333333333,18.575833333333335,17.93,Good
06-037-1103,2023-01-04 03:00:00,17.93,5.0,34.1,3.73,3,1,2,0,0,8.85,14.92,15.993333333333334,18.70125,16.72,Moderate
06-037-1103,2023-01-04 04:00:00,16.72,3.9,39.0,5.31,4,1,2,0,0,17.93,14.81,16.061666666666667,18.780833333333334,16.48,Moderate
06-037-1103,2023-01-04 05:00:00,16.48,2.3,39.2,4.17,5,1,2,0,0,16.72,18.75,15.65,18.68625,18.23,Moderate
06-037-1103,2023-01-04 06:00:00,18.23,7.8,36.0,2.27,6,1,2,0,0,16.48,20.58,16.203333333333333,18.588333333333335,15.81,Moderate
06-037-1103,2023-01-04 07:00:00,15.81,6.2,45.8,4.72,7,1,2,0,0,18.23,23.1,15.67,18.284583333333334,20.95,Moderate
06-037-1103,2023-01-04 08:00:00,20.95,3.6,42.0,3.0,8,1,2,0,0,15.81,19.4,17.686666666666667,18.349166666666665,21.01,Moderate
06-037-1103,2023-01-04 09:00:00,21.01,6.4,40.9,4.57,9,1,2,0,0,20.95,19.35,18.2,18.418333333333333,23.864099999999997,Moderate
06-037-1103,2023-01-04 10:00:00,23.864099999999997,4.9,35.7,2.95,10,1,2,0,0,21.01,21.43,19.39068333333333,18.51975416666667,19.6,Moderate
06-037-1103,2023-01-04 11:00:00,19.6,4.4,41.8,4.03,11,1,2,0,0,23.864099999999997,23.34,19.910683333333335,18.363920833333335,18.98,Moderate
06-037-1103,2023-01-04 12:00:00,18.98,5.9,28.9,2.72,12,1,2,0,0,19.6,19.8,20.035683333333335,18.329754166666667,19.64,Moderate
06-037-1103,2023-01-04 13:00:00,19.64,3.5,41.2,2.76,13,1,2,0,0,18.98,20.43,20.674016666666667,18.2968375,22.89,Moderate
06-037-1103,2023-01-04 14:00:00,22.89,4.3,42.3,1.15,14,1,2,0,0,19.64,17.83,20.99735,18.507670833333332,20.94,Moderate
06-037-1103,2023-01-04 15:00:00,20.94,5.2,43.2,4.27,15,1,2,0,0,22.89,17.13,20.98568333333333,18.666420833333333,18.18,Moderate
06-037-1103,2023-01-04 16:00:00,18.18,4.0,34.2,4.06,16,1,2,0,0,20.94,21.53,20.038333333333334,18.5268375,20.06,Moderate
06-037-1103,2023-01-04 17:00:00,20.06,6.3,43.1,4.14,17,1,2,0,0,18.18,22.17,20.115,18.43892083333333,20.24,Moderate
06-037-1103,2023-01-04 18:00:00,20.24,8.7,36.8,3.91,18,1,2,0,0,20.06,19.82,20.325,18.456420833333333,21.65,Moderate
06-037-1103,2023-01-04 19:00:00,21.65,3.5,37.9,2.36,19,1,2,0,0,20.24,21.73,20.66,18.4530875,14.74,Moderate
06-037-1103,2023-01-04 20:00:00,14.74,1.7,45.6,4.95,20,1,2,0,0,21.65,17.4,19.301666666666666,18.342254166666667,15.06,Moderate
06-037-1103,2023-01-04 21:00:00,15.06,1.0,52.1,4.99,21,1,2,0,0,14.74,14.27,18.32166666666667,18.375170833333332,14.42,Moderate
06-037-1103,2023-01-04 22:00:00,14.42,4.7,42.3,2.32,22,1,2,0,0,15.06,16.31,17.695,18.296420833333332,11.44,Moderate
06-037-1103,2023-01-04 23:00:00,11.44,3.7,37.9,4.3,23,1,2,0,0,14.42,18.95,16.258333333333333,17.983504166666666,15.74,Good
06-037-1103,2023-01-05 00:00:00,15.74,5.4,43.0,4.81,0,1,3,0,0,11.44,14.91,15.508333333333333,18.0180875,15.75,Moderate
06-037-1103,2023-01-05 01:00:00,15.75,5.3,46.7,2.79,1,1,3,0,0,15.74,19.01,14.525,17.882254166666666,15.41,Moderate
06-037-1103,2023-01-05 02:00:00,15.41,1.8,45.1,3.06,2,1,3,0,0,15.75,8.85,14.636666666666665,18.1555875,15.29,Moderate
06-037-1103,2023-01-05 03:00:00,15.29,1.4,55.7,4.3,3,1,3,0,0,15.41,17.93,14.674999999999999,18.0455875,12.96,Moderate
06-037-1103,2023-01-05 04:00:00,12.96,5.6,38.4,1.23,4,1,3,0,0,15.29,16.72,14.431666666666665,17.888920833333334,16.17,Moderate
06-037-1103,2023-01-05 05:00:00,16.17,5.3,43.3,1.87,5,1,3,0,0,12.96,16.48,15.219999999999999,17.876004166666664,17.14,Moderate
06-037-1103,2023-01-05 06:00:00,17.14,4.1,49.8,2.02,6,1,3,0,0,16.17,18.23,15.453333333333333,17.8305875,18.77,Moderate
06-037-1103,2023-01-05 07:00:00,18.77,1.7,49.4,0.81,7,1,3,0,0,17.14,15.81,15.956666666666669,17.953920833333335,21.1,Moderate
06-037-1103,2023-01-05 08:00:00,21.1,5.9,32.3,5.13,8,1,3,0,0,18.77,20.95,16.905,17.960170833333333,21.13,Moderate
06-037-1103,2023-01-05 09:00:00,21.13,7.5,42.0,0.52,9,1,3,0,0,21.1,21.01,17.878333333333334,17.96517083333333,23.864099999999997,Moderate
06-037-1103,2023-01-05 10:00:00,23.864099999999997,5.6,49.4,4.01,10,1,3,0,0,21.13,23.864099999999997,19.695683333333335,17.96517083333333,21.33,Moderate
06-037-1103,2023-01-05 11:00:00,21.33,3.3,56.5,4.72,11,1,3,0,0,23.864099999999997,19.6,20.55568333333333,18.037254166666667,21.64,Moderate
06-037-1103,2023-01-05 12:00:00,21.64,5.1,45.5,3.06,12,1,3,0,0,21.33,18.98,21.30568333333333,18.1480875,20.71,Moderate
06-037-1103,2023-01-05 13:00:00,20.71,2.3,40.2,2.5,13,1,3,0,0,21.64,19.64,21.62901666666667,18.192670833333334,15.8,Moderate
06-037-1103,2023-01-05 14:00:00,15.8,7.1,37.0,3.85,14,1,3,0,0,20.71,22.89,20.745683333333332,17.897254166666666,20.06,Moderate
06-037-1103,2023-01-05 15:00:00,20.06,5.2,53.1,3.5,15,1,3,0,0,15.8,20.94,20.56735,17.8605875,19.65,Moderate
06-037-1103,2023-01-05 16:00:00,19.65,1.5,45.7,5.01,16,1,3,0,0,20.06,18.18,19.865,17.9218375,23.864099999999997,Moderate
06-037-1103,2023-01-05 17:00:00,23.864099999999997,4.4,37.8,0.44,17,1,3,0,0,19.65,20.06,20.28735,18.080341666666666,19.52,Moderate
06-037-1103,2023-01-05 18:00:00,19.52,5.9,41.0,2.12,18,1,3,0,0,23.864099999999997,20.24,19.934016666666665,18.050341666666665,19.98,Moderate
06-037-1103,2023-01-05 19:00:00,19.98,4.3,43.6,4.34,19,1,3,0,0,19.52,21.65,19.81235,17.980758333333334,16.41,Moderate
06-037-1103,2023-01-05 20:00:00,16.41,4.4,44.7,3.58,20,1,3,0,0,19.98,14.74,19.914016666666665,18.050341666666668,12.96,Moderate
06-037-1103,2023-01-05 21:00:00,12.96,2.6,37.5,4.63,21,1,3,0,0,16.41,15.06,18.730683333333335,17.962841666666666,18.26,Moderate
06-037-1103,2023-01-05 22:00:00,18.26,6.1,38.9,3.89,22,1,3,0,0,12.96,14.42,18.499016666666666,18.122841666666666,16.98,Moderate
06-037-1103,2023-01-05 23:00:00,16.98,3.7,33.7,3.3,23,1,3,0,0,18.26,11.44,17.351666666666667,18.353675,16.98,Moderate
06-037-1103,2023-01-06 00:00:00,16.98,0.7,47.2,3.05,0,1,4,0,0,16.98,15.74,16.928333333333335,18.40534166666667,12.83,Moderate
06-037-1103,2023-01-06 01:00:00,12.83,4.3,40.3,6.99,1,1,4,0,0,16.98,15.75,15.736666666666666,18.283675,18.91,Moderate
06-037-1103,2023-01-06 02:00:00,18.91,7.0,44.3,5.8,2,1,4,0,0,12.83,15.41,16.153333333333336,18.429508333333334,12.37,Moderate
06-037-1103,2023-01-06 03:00:00,12.37,4.2,49.1,4.24,3,1,4,0,0,18.91,15.29,16.055,18.307841666666665,17.97,Moderate
06-037-1103,2023-01-06 04:00:00,17.97,8.5,43.1,3.62,4,1,4,0,0,12.37,12.96,16.006666666666664,18.516591666666667,22.7,Moderate
06-037-1103,2023-01-06 05:00:00,22.7,5.9,41.4,4.31,5,1,4,0,0,17.97,16.17,16.96,18.788675,15.52,Moderate
06-037-1103,2023-01-06 06:00:00,15.52,5.7,43.0,4.74,6,1,4,0,0,22.7,17.14,16.716666666666665,18.721175,19.36,Moderate
06-037-1103,2023-01-06 07:00:00,19.36,4.7,42.3,4.13,7,1,4,0,0,15.52,18.77,17.805,18.74575833333333,21.75,Moderate
06-037-1103,2023-01-06 08:00:00,21.75,4.9,48.2,2.37,8,1,4,0,0,19.36,21.1,18.278333333333332,18.772841666666668,18.86,Moderate
06-037-1103,2023-01-06 09:00:00,18.86,4.5,43.6,6.18,9,1,4,0,0,21.75,21.13,19.36,18.678258333333336,16.72,Moderate
06-037-1103,2023-01-06 10:00:00,16.72,4.4,39.3,3.87,10,1,4,0,0,18.86,23.864099999999997,19.151666666666667,18.3805875,21.07,Moderate
06-037-1103,2023-01-06 11:00:00,21.07,6.1,47.2,6.52,11,1,4,0,0,16.72,21.33,18.88,18.369754166666667,18.34,Moderate
06-037-1103,2023-01-06 12:00:00,18.34,3.1,48.2,3.78,12,1,4,0,0,21.07,21.64,19.349999999999998,18.232254166666667,22.08,Moderate
06-037-1103,2023-01-06 13:00:00,22.08,2.8,35.3,3.13,13,1,4,0,0,18.34,20.71,19.80333333333333,18.2893375,18.3,Moderate
06-037-1103,2023-01-06 14:00:00,18.3,2.8,49.7,5.58,14,1,4,0,0,22.08,15.8,19.228333333333335,18.393504166666666,23.864099999999997,Moderate
06-037-1103,2023-01-06 15:00:00,23.864099999999997,9.1,43.8,3.95,15,1,4,0,0,18.3,20.06,20.06235,18.552008333333333,17.54,Moderate
06-037-1103,2023-01-06 16:00:00,17.54,6.1,43.4,3.7,16,1,4,0,0,23.864099999999997,19.65,20.199016666666665,18.464091666666665,17.97,Moderate
06-037-1103,2023-01-06 17:00:00,17.97,5.6,47.0,1.7,17,1,4,0,0,17.54,23.864099999999997,19.68235,18.218504166666666,22.03,Moderate
06-037-1103,2023-01-06 18:00:00,22.03,2.9,39.2,4.49,18,1,4,0,0,17.97,19.52,20.297349999999998,18.3230875,16.15,Moderate
06-037-1103,2023-01-06 19:00:00,16.15,6.2,46.8,2.76,19,1,4,0,0,22.03,19.98,19.30901666666667,18.163504166666666,17.07,Moderate
06-037-1103,2023-01-06 20:00:00,17.07,4.8,40.1,2.83,20,1,4,0,0,16.15,16.41,19.104016666666666,18.191004166666666,19.15,Moderate
06-037-1103,2023-01-06 21:00:00,19.15,5.4,34.6,2.76,21,1,4,0,0,17.07,12.96,18.31833333333333,18.448920833333332,11.38,Moderate
06-037-1103,2023-01-06 22:00:00,11.38,3.0,37.0,4.16,22,1,4,0,0,19.15,18.26,17.291666666666668,18.162254166666667,15.56,Good
06-037-1103,2023-01-06 23:00:00,15.56,5.3,44.8,1.2,23,1,4,0,0,11.38,16.98,16.89,18.103087499999997,15.65,Moderate
06-037-1103,2023-01-07 00:00:00,15.65,4.2,37.3,3.18,0,1,5,1,0,15.56,16.98,15.826666666666668,18.047670833333335,17.06,Moderate
06-037-1103,2023-01-07 01:00:00,17.06,3.5,50.1,4.97,1,1,5,1,0,15.65,12.83,15.978333333333333,18.223920833333334,12.31,Moderate
06-037-1103,2023-01-07 02:00:00,12.31,6.5,48.0,1.63,2,1,5,1,0,17.06,18.91,15.185,17.948920833333336,12.58,Moderate
06-037-1103,2023-01-07 03:00:00,12.58,1.9,48.7,3.76,3,1,5,1,0,12.31,12.37,14.089999999999998,17.957670833333335,17.8,Moderate
06-037-1103,2023-01-07 04:00:00,17.8,6.1,42.6,2.55,4,1,5,1,0,12.58,17.97,15.160000000000002,17.9505875,17.97,Moderate
06-037-1103,2023-01-07 05:00:00,17.97,6.4,43.3,2.89,5,1,5,1,0,17.8,22.7,15.561666666666667,17.753504166666666,18.63,Moderate
06-037-1103,2023-01-07 06:00:00,18.63,3.2,36.0,5.98,6,1,5,1,0,17.97,15.52,16.058333333333334,17.8830875,21.64,Moderate
06-037-1103,2023-01-07 07:00:00,21.64,3.4,47.0,1.02,7,1,5,1,0,18.63,19.36,16.821666666666665,17.9780875,19.8,Moderate
06-037-1103,2023-01-07 08:00:00,19.8,4.6,43.9,4.65,8,1,5,1,0,21.64,21.75,18.07,17.8968375,20.7,Moderate
06-037-1103,2023-01-07 09:00:00,20.7,5.6,44.8,2.78,9,1,5,1,0,19.8,18.86,19.423333333333336,17.973504166666668,21.33,Moderate
06-037-1103,2023-01-07 10:00:00,21.33,4.7,50.5,2.71,10,1,5,1,0,20.7,16.72,20.011666666666667,18.1655875,19.11,Moderate
06-037-1103,2023-01-07 11:00:00,19.11,5.9,39.0,1.83,11,1,5,1,0,21.33,21.07,20.201666666666664,18.083920833333334,23.864099999999997,Moderate
06-037-1103,2023-01-07 12:00:00,23.864099999999997,8.5,41.4,4.63,12,1,5,1,0,19.11,18.34,21.074016666666665,18.314091666666666,22.08,Moderate
06-037-1103,2023-01-07 13:00:00,22.08,4.0,43.6,3.21,13,1,5,1,0,23.864099999999997,22.08,21.14735,18.314091666666666,17.62,Moderate
06-037-1103,2023-01-07 14:00:00,17.62,1.6,37.3,3.02,14,1,5,1,0,22.08,18.3,20.784016666666666,18.285758333333334,21.76,Moderate
06-037-1103,2023-01-07 15:00:00,21.76,6.7,41.1,3.66,15,1,5,1,0,17.62,23.864099999999997,20.960683333333332,18.1980875,17.06,Moderate
06-037-1103,2023-01-07 16:00:00,17.06,8.4,44.5,3.24,16,1,5,1,0,21.76,17.54,20.249016666666666,18.1780875,20.74,Moderate
06-037-1103,2023-01-07 17:00:00,20.74,5.8,40.4,0.5,17,1,5,1,0,17.06,17.97,20.520683333333334,18.293504166666665,22.9,Moderate
06-037-1103,2023-01-07 18:00:00,22.9,2.8,48.6,2.76,18,1,5,1,0,20.74,22.03,20.36,18.329754166666667,17.17,Moderate
06-037-1103,2023-01-07 19:00:00,17.17,4.8,34.5,4.84,19,1,5,1,0,22.9,16.15,19.541666666666668,18.372254166666668,18.91,Moderate
06-037-1103,2023-01-07 20:00:00,18.91,2.8,47.6,1.24,20,1,5,1,0,17.17,17.07,19.756666666666664,18.448920833333332,16.91,Moderate
06-037-1103,2023-01-07 21:00:00,16.91,6.3,45.3,1.87,21,1,5,1,0,18.91,19.15,18.948333333333334,18.355587500000002,17.46,Moderate
06-037-1103,2023-01-07 22:00:00,17.46,2.3,39.2,2.86,22,1,5,1,0,16.91,11.38,19.014999999999997,18.608920833333332,19.84,Moderate
06-037-1103,2023-01-07 23:00:00,19.84,4.4,37.4,2.41,23,1,5,1,0,17.46,15.56,18.865,18.787254166666667,14.39,Moderate
06-037-1103,2023-01-08 00:00:00,14.39,3.0,31.6,3.46,0,1,6,1,0,19.84,15.65,17.44666666666667,18.734754166666665,13.22,Moderate
06-037-1103,2023-01-08 01:00:00,13.22,5.3,38.0,1.86,1,1,6,1,0,14.39,17.06,16.788333333333334,18.574754166666665,13.18,Moderate
06-037-1103,2023-01-08 02:00:00,13.18,4.3,47.2,2.92,2,1,6,1,0,13.22,12.31,15.833333333333334,18.611004166666664,13.84,Moderate
06-037-1103,2023-01-08 03:00:00,13.84,5.4,41.7,3.43,3,1,6,1,0,13.18,12.58,15.321666666666665,18.663504166666666,16.31,Moderate
06-037-1103,2023-01-08 04:00:00,16.31,5.0,47.8,4.47,4,1,6,1,0,13.84,17.8,15.13,18.601420833333332,18.08,Moderate
06-037-1103,2023-01-08 05:00:00,18.08,3.0,38.9,5.37,5,1,6,1,0,16.31,17.97,14.836666666666666,18.60600416666667,18.69,Moderate
06-037-1103,2023-01-08 06:00:00,18.69,6.3,45.5,3.11,6,1,6,1,0,18.08,18.63,15.553333333333333,18.608504166666666,22.84,Moderate
06-037-1103,2023-01-08 07:00:00,22.84,4.9,38.4,6.33,7,1,6,1,0,18.69,21.64,17.156666666666666,18.658504166666667,21.53,Moderate
06-037-1103,2023-01-08 08:00:00,21.53,3.0,37.2,3.22,8,1,6,1,0,22.84,19.8,18.548333333333332,18.730587500000002,23.76,Moderate
06-037-1103,2023-01-08 09:00:00,23.76,9.5,41.5,4.74,9,1,6,1,0,21.53,20.7,20.201666666666668,18.8580875,19.94,Moderate
06-037-1103,2023-01-08 10:00:00,19.94,6.0,38.7,6.4,10,1,6,1,0,23.76,21.33,20.80666666666667,18.800170833333333,23.864099999999997,Moderate
06-037-1103,2023-01-08 11:00:00,23.864099999999997,4.7,34.3,3.71,11,1,6,1,0,19.94,19.11,21.770683333333334,18.998258333333336,22.56,Moderate
06-037-1103,2023-01-08 12:00:00,22.56,7.8,41.1,1.44,12,1,6,1,0,23.864099999999997,23.864099999999997,22.415683333333334,18.943920833333333,18.75,Moderate
06-037-1103,2023-01-08 13:00:00,18.75,8.7,42.5,3.64,13,1,6,1,0,22.56,22.08,21.734016666666665,18.80517083333333,17.92,Moderate
06-037-1103,2023-01-08 14:00:00,17.92,4.7,48.4,2.58,14,1,6,1,0,18.75,17.62,21.13235,18.817670833333334,21.33,Moderate
06-037-1103,2023-01-08 15:00:00,21.33,5.7,46.7,3.09,15,1,6,1,0,17.92,21.76,20.727349999999998,18.799754166666666,18.94,Moderate
06-037-1103,2023-01-08 16:00:00,18.94,3.0,48.1,6.48,16,1,6,1,0,21.33,17.06,20.560683333333333,18.8780875,20.56,Moderate
06-037-1103,2023-01-08 17:00:00,20.56,4.7,45.6,1.67,17,1,6,1,0,18.94,20.74,20.01,18.870587500000003,21.18,Moderate
06-037-1103,2023-01-08 18:00:00,21.18,4.6,43.7,3.95,18,1,6,1,0,20.56,22.9,19.78,18.798920833333334,19.04,Moderate
06-037-1103,2023-01-08 19:00:00,19.04,5.4,35.9,2.18,19,1,6,1,0,21.18,17.17,19.828333333333333,18.876837499999997,14.38,Moderate
06-037-1103,2023-01-08 20:00:00,14.38,5.7,42.8,3.04,20,1,6,1,0,19.04,18.91,19.238333333333333,18.688087499999998,12.09,Moderate
06-037-1103,2023-01-08 21:00:00,12.09,6.1,45.0,4.62,21,1,6,1,0,14.38,16.91,17.698333333333334,18.487254166666666,14.29,Moderate
06-037-1103,2023-01-08 22:00:00,14.29,5.5,49.3,3.98,22,1,6,1,0,12.09,17.46,16.923333333333336,18.355170833333332,17.24,Moderate
06-037-1103,2023-01-08 23:00:00,17.24,2.6,45.4,3.16,23,1,6,1,0,14.29,19.84,16.37,18.246837499999998,15.54,Moderate
06-037-1103,2023-01-09 00:00:00,15.54,3.1,48.2,2.53,0,1,0,0,0,17.24,14.39,15.429999999999998,18.294754166666667,11.99,Moderate
06-037-1103,2023-01-09 01:00:00,11.99,3.9,36.8,3.97,1,1,0,0,0,15.54,13.22,14.255,18.243504166666668,15.83,Good
06-037-1103,2023-01-09 02:00:00,15.83,4.4,40.4,6.06,2,1,0,0,0,11.99,13.18,14.496666666666668,18.353920833333333,16.84,Moderate
06-037-1103,2023-01-09 03:00:00,16.84,7.1,44.2,2.15,3,1,0,0,0,15.83,13.84,15.288333333333334,18.47892083333333,14.29,Moderate
06-037-1103,2023-01-09 04:00:00,14.29,2.7,47.8,6.37,4,1,0,0,0,16.84,16.31,15.288333333333332,18.394754166666665,17.61,Moderate
06-037-1103,2023-01-09 05:00:00,17.61,4.3,41.3,5.3,5,1,0,0,0,14.29,18.08,15.35,18.375170833333332,18.15,Moderate
06-037-1103,2023-01-09 06:00:00,18.15,6.9,41.6,5.55,6,1,0,0,0,17.61,18.69,15.785000000000002,18.35267083333333,17.92,Moderate
06-037-1103,2023-01-09 07:00:00,17.92,4.4,45.4,3.96,7,1,0,0,0,18.15,22.84,16.773333333333333,18.147670833333333,22.39,Moderate
